about | prep., adv. [อะเบาท์] | เกี่ยวกับ
dishonest | (adj.) [ดิสนัส] | ไม่ซื่อสัตย์
dismiss | (v.) [ดิสมิซ] | ไล่ออก
display | (v., n.) [ดิสเพลย์] | แสดง, การแสดง
distribute | (v.) [ดิสทริบิวท์] | แจกจ่าย
distribution | (n.) [ดิสทริบิวชัน] | การแจกจ่าย
district | (n.) [ดิสทริคต์] | เขต
divide | (n.) [ดิไวด์] | แบ่ง, การแบ่ง
division | (n.) [ดิวิชัน] | การแบ่ง
document | (v.) [ด็อกคิวเมนท์] | เอกสาร, บันทึก
domestic | (adj.) [โดเมสติก] | ภายในประเทศ
dominate | (v.) [ดอมมิเนต] | ครอง, ควบคุม
downwards | (adv.) [ดาวน์เวิร์ดส] | ลงไป
dozen | (n., det.) [ดัซเซ่น] | โหล
draft | (n., v.) [ดราฟท์] | ร่าง, ร่างเอกสาร
drag | (v.) [ดราก] | ดึง
dramatic | (adj.) [ดรามาติก] | น่าตื่นเต้น
edit | (v.) [เอดิท] | แก้ไข
edition | (n.) [เอดิชั่น] | ฉบับ
efficient | (adj.) [อีฟฟิชเชียนท์] | มีประสิทธิภาพ
elderly | (adj.) [เอลเดอรี่] | ผู้สูงอายุ
elect | (v.) [อิเล็คท์] | เลือกตั้ง
elsewhere | (adv.) [เอลส์แวร์] | ที่อื่น
emerge | (v.) [อีเมิร์จ] | ปรากฏ
emotional | (adj.) [อีโมชันนัล] | อารมณ์
emphasis | (n.) [เอ็มฟาซิส] | การเน้น
emphasize | (v.) [เอ็มฟาไซซ์] | เน้น
enable | (v.) [อีนาเบิล] | ทำให้สามารถ
encounter | (v., n.) [เอนเคาน์เตอร์] | พบเจอ, การพบเจอ
engage | (v.) [อิงเกจ] | มีส่วนร่วม
enhance | (v.) [เอนแฮนซ์] | เพิ่มพูน
enquiry | (n.) [อีนไควรี] | การสอบถาม
ensure | (v.) [เอนชัวร์] | รับรอง
enthusiasm | (n.) [เอนธูเซียสซึ่ม] | ความกระตือรือร้น
enthusiastic | (adj.) [เอนธูเซียสติก] | กระตือรือร้น
entire | (adj.) [เอนไทร์] | ทั้งหมด
entirely | (adv.) [เอนไทร์ลี่] | โดยสิ้นเชิง
equal | (n.) [อีควิล] | เท่ากัน
establish | (v.) [อีสแทบลิช] | ก่อตั้ง
estate | (n.) [เอสเทต] | ทรัพย์สิน
estimate | (v., n.) [เอสทิเมท] | ประเมิน, การประมาณ
ethical | (adj.) [เอธิคัล] | จริยธรรม
evaluate | (v.) [อีวาลูเอท] | ประเมินค่า
even | (adj.) [อีเวน] | เท่ากัน, แม้ว่า
evil | (adj., n.) [อีวิล] | ชั่วร้าย, ความชั่วร้าย
examination | (n.) [เอ็กซามิเนชั่น] | การสอบ
excuse | (n., v.) [เอ็กซ์คิวส์] | ข้อแก้ตัว, แก้ตัว
executive | (n., adj.) [เอ็กเซคคิวทีฟ] | ผู้บริหาร, เกี่ยวกับการบริหาร
existence | (n.) [เอ็กซิสเทนซ์] | การมีอยู่
expectation | (n.) [เอ็กซ์เปคเทชั่น] | ความคาดหวัง
expense | (n.) [เอ็กซ์เพนส์] | ค่าใช้จ่าย
exploration | (n.) [เอ็กซ์พลอเรชั่น] | การสำรวจ
expose | (v.) [เอ็กซ์โพส] | เปิดเผย
extend | (v.) [เอ็กซ์เทนด์] | ขยาย
extent | (n.) [เอ็กซ์เทนท์] | ขอบเขต
external | (adj.) [เอ็กซ์เทอเนิล] | ภายนอก
extraordinary | (adj.) [เอ็กซ์ตรอเดอรี] | พิเศษ
extreme | (n.) [เอ็กซ์ตรีม] | ขั้นสุดยอด, ความรุนแรง
facility | (n.) [ฟาซิลิตี้] | สิ่งอำนวยความสะดวก
failure | (n.) [เฟลเยอร์] | ความล้มเหลว
faith | (n.) [เฟธ] | ศรัทธา
fault | (n.) [ฟอลต์] | ข้อบกพร่อง
favour | (v.) [เฟเวอร์] | ความโปรดปราน, ช่วยเหลือ
feather | (n.) [เฟเธอร์] | ขน
fee | (n.) [ฟี] | ค่าธรรมเนียม
feed | (n.) [ฟีด] | การให้อาหาร
feedback | (n.) [ฟีดแบ็ค] | ความเห็นตอบกลับ
feel | (n.) [ฟีล] | รู้สึก
fellow | (adj.) [เฟลโลว์] | เพื่อน, ร่วมกัน
figure | (v.) [ฟิกเจอร์] | รูปภาพ, คิดคำนวณ
file | (v.) [ไฟล์] | จัดเก็บ, เอกสาร
finance | (n., v.) [ไฟแนนซ์] | การเงิน, จัดการการเงิน
finding | (n.) [ฟินดิ้ง] | การค้นพบ
firm | (n.) [เฟิร์ม] | บริษัท
fix | (n.) [ฟิกซ์] | ซ่อมแซม, การซ่อมแซม
flame | (n.) [เฟลม] | เปลวไฟ
flash | (n., v.) [แฟลช] | แสงวาบ, วาบไป
flexible | (adj.) [เฟล็กซิเบิล] | ยืดหยุ่น
float | (v.) [โฟลท] | ลอย
fold | (n.) [โฟลด์] | พับ
folding | (adj.) [โฟลดิ้ง] | ซึ่งพับได้
following | (prep.) [ฟอลโลว์อิง] | หลังจากนั้น
forgive | (v.) [ฟอร์กีฟ] | ให้อภัย
former | (adj.) [ฟอร์เมอร์] | อดีต
fortune | (n.) [ฟอร์จูน] | โชคลาภ
forward | (adj.) [ฟอร์เวิร์ด] | ไปข้างหน้า
found | (v.) [ฟาวน์ด] | ก่อตั้ง, พบ
free | (v.) [ฟรี] | ฟรี, ปลดปล่อย
freedom | (n.) [ฟรีดอม] | เสรีภาพ
frequency | (n.) [ฟรีเควนซี] | ความถี่
fuel | (v.) [ฟูเอล] | เชื้อเพลิง, เพิ่มพลัง
fully | (adv.) [ฟูลลี่] | โดยสมบูรณ์
function | (v.) [ฟังก์ชัน] | ฟังก์ชัน, ทำงาน
fund | (n., v.) [ฟันด์] | กองทุน, ให้ทุน
fundamental | (adj.) [ฟันดาเมนทัล] | พื้นฐาน
funding | (n.) [ฟันดิง] | การสนับสนุนการเงิน
furthermore | (adv.) [เฟิร์ธเธอร์มอร์] | นอกจากนี้
gain | (v., n.) [เกน] | ได้รับ, ผลกำไร
gang | (n.) [แก๊ง] | กลุ่ม
generate | (v.) [เจเนอเรท] | สร้าง
genre | (n.) [ชองเร่] | ประเภท
govern | (v.) [กอฟเวิร์น] | ปกครอง
grab | (v.) [แกร็บ] | จับ
grade | (v.) [เกรด] | ระดับ, ให้คะแนน
gradually | (adv.) [แกรดูอัลลี่] | ทีละน้อย
grand | (adj.) [แกรนด์] | ยิ่งใหญ่
grant | (v., n.) [แกรนต์] | ให้, การให้
guarantee | (v., n.) [แกแลนที] | รับประกัน, การรับประกัน
handle | (v., n.) [แฮนเดิล] | จัดการ, มือจับ
harm | (n., v.) [ฮาร์ม] | ความเสียหาย, ทำให้เกิดความเสียหาย
harmful | (adj.) [ฮาร์มฟูล] | เป็นอันตราย
hearing | (n.) [ฮีริ่ง] | การฟัง
heaven | (n.) [เฮฟเว่น] | สวรรค์
heel | (n.) [ฮีล] | ส้นเท้า
hell | (n.) [เฮลล์] | นรก
hesitate | (v.) [เฮซิเตท] | ลังเล
high | (n.) [ไฮ] | สูง, จุดสูงสุด
hire | (n.) [ไฮร์] | การจ้างงาน
hold | (n.) [โฮลด์] | ถือ, การถือ
hollow | (adj.) [ฮอลโลว์] | ซึ่งเป็นโพรง
holy | (adj.) [โฮลี] | ศักดิ์สิทธิ์
honour | (n., v.) [ฮอนเนอร์] | เกียรติ, ให้เกียรติ
host | (v.) [โฮสต์] | เจ้าภาพ
house | (v.) [เฮ้าส์] | บ้าน, อาศัย
household | (n.) [เฮ้าส์โฮลด์] | ครัวเรือน
housing | (n.) [เฮ้าสิง] | ที่อยู่อาศัย
humorous | (adj.) [ฮิวมอรัส] | ตลกขบขัน
humour | (n.) [ฮิวเมอร์] | อารมณ์ขัน
hunt | (n.) [ฮันต์] | การล่า
hunting | (n.) [ฮันติ้ง] | การล่าสัตว์
hurt | (n.) [เฮิร์ท] | เจ็บ, การบาดเจ็บ
